order_date,name,"sub total",vat_value,vat_percentage,total
1,"2020 Jun 10","500x Business Cards",342.87,0,20,0,2020-11-09T18:35:06.000000Z,2020-11-09T18:35:06.000000Z
2,"2020 Mar 23","500x Flyers",437.88,0,0,0,2020-11-09T18:35:06.000000Z,2020-11-09T18:35:06.000000Z
3,"2020 Apr 11","100x Leaflets",125.12,0,20,0,2020-11-09T18:35:06.000000Z,2020-11-09T18:35:06.000000Z
4,"2020 May 06","99x Wedding Stationary",99.22,0,20,0,2020-11-09T18:35:06.000000Z,2020-11-09T18:35:06.000000Z
5,"2019 Dec 21","10x Stationary",20.92,0,0,0,2020-11-09T18:35:06.000000Z,2020-11-09T18:35:06.000000Z
6,20/01/2020,"1000x Business Cards",832.99,0,20,999.59,2020-11-09T18:35:06.000000Z,2020-11-09T18:35:06.000000Z
7,23/02/2020,"500x Flyers",436.21,0,20,436.21,2020-11-09T18:35:06.000000Z,2020-11-09T18:35:06.000000Z
8,15/04/2020,"1000x Leaflets",982.66,0,20,1179.19,2020-11-09T18:35:06.000000Z,2020-11-09T18:35:06.000000Z
9,22/06/2019,"100x Wedding Stationary",100,0,20,120,2020-11-09T18:35:06.000000Z,2020-11-09T18:35:06.000000Z
10,16/04/2020,"1000x Brochures",1033,20,20,200,2020-11-09T18:35:06.000000Z,2020-11-09T18:35:06.000000Z
11,"2020 Jun 10","500x Business Cards",342.87,0,20,0,2020-11-09T18:36:00.000000Z,2020-11-09T18:36:00.000000Z
12,"2020 Mar 23","500x Flyers",437.88,0,0,0,2020-11-09T18:36:00.000000Z,2020-11-09T18:36:00.000000Z
13,"2020 Apr 11","100x Leaflets",125.12,0,20,0,2020-11-09T18:36:00.000000Z,2020-11-09T18:36:00.000000Z
14,"2020 May 06","99x Wedding Stationary",99.22,0,20,0,2020-11-09T18:36:00.000000Z,2020-11-09T18:36:00.000000Z
15,"2019 Dec 21","10x Stationary",20.92,0,0,0,2020-11-09T18:36:00.000000Z,2020-11-09T18:36:00.000000Z
16,20/01/2020,"1000x Business Cards",832.99,0,20,999.59,2020-11-09T18:36:00.000000Z,2020-11-09T18:36:00.000000Z
17,23/02/2020,"500x Flyers",436.21,0,20,436.21,2020-11-09T18:36:00.000000Z,2020-11-09T18:36:00.000000Z
18,15/04/2020,"1000x Leaflets",982.66,0,20,1179.19,2020-11-09T18:36:00.000000Z,2020-11-09T18:36:00.000000Z
19,22/06/2019,"100x Wedding Stationary",100,0,20,120,2020-11-09T18:36:00.000000Z,2020-11-09T18:36:00.000000Z
20,2020-01-05,"500x Brochures",596,119.2,20,200,2020-11-09T18:36:00.000000Z,2020-11-09T18:36:00.000000Z
